ARTICOLO, LIST PRICE  
AC 1027,13.55
AC 1270,11.12
AC 1271,11.79
AC 1275,13.55
AC 1276,9.19
AC 35,0.81
AC 8512,9.7
AN G1B000A-PH10,196.17
AN G1B000A-PH3,147.28
AN G1B000A-PM0.2,138.47
AN G1B000A-PM0.5,138.47
AN G1B000A-PM2,139.52
AN G1B000A-PM3,139.52
AN G1B000A-PN0.5,125.87
AN G1B000A-PN10,146.29
AN G1B000A-PN15,157.02
AN G1B000A-PN20,167.76
AN G1B000A-PN3,130.8
AN G1B000A-PN5,135.27
AN G1B001A-PH10,211.08
AN G1B001A-PH3,162.19
AN G1B001A-PM0.2,156.8
AN G1B001A-PM0.5,156.8
AN G1B001A-PM3,161.09
AN G1B001A-PN0.5,141.18
AN G1B001A-PN1,142.64
AN G1B001A-PN10,169.43
AN G1B001A-PN3,148.01
AN G1B001A-PN5,154.19
AN G1B002A-PM0.2,156.8
AN G1B002A-PM0.5,156.8
AN G1B002A-PN10,169.43
AN G1B002A-PN3,148.01
AN G1B003A-PH3,162.19
AN G1B003A-PM0.2,156.8
AN G1B003A-PM0.5,156.8
AN G1B003A-PM3,161.09
AN G1B003A-PN10,169.43
AN G1B003A-PN3,148.01
AN G1B004A-PM0.2,156.8
AN G1B004A-PM0.5,156.8
AN G1B004A-PM3,161.09
AN G1B004A-PN3,148.01
AN G1B005A-PH10,211.08
AN G1B005A-PH3,162.19
AN G1B005A-PM0.2,156.8
AN G1B005A-PM0.5,156.8
AN G1B005A-PM3,161.09
AN G1B005A-PN10,169.43
AN G1B005A-PN3,148.01
AN G1B005A-PN5,154.19
AN G1B008A-PM0.2,158.93
AN G1B008A-PN10,169.43
AN G1B008A-PN3,148.01
AN G9A000A,66.01
AN G9A000A-X,78.06
AN G9A001A-PM0.2,116.13
AN G9A001A-PM0.5,116.13
AN G9A001A-PN3,108.46
AN G9A002A-PM0.2,116.13
AN G9A002A-PN3,108.46
AN G9A003A-PM0.2,116.13
AN G9A003A-PN3,108.46
AN G9A004A-PM0.2,116.13
AN G9A004A-PN3,108.46
AN G9A005A-PM0.2,116.13
AN G9A005A-PM3,117.18
AN G9A005A-PN10,123.95
AN G9A005A-PN3,108.46
AN G9A008A-PM0.2,116.13
AN G9A008A-PM3,117.18
AN G9A008A-PN10,123.95
AN G9A008A-PN3,108.46
AN G9A070A-PM0.2,116.98
AN S1B000A-PH1.5,132.29
AN S1B000A-PH10,191.58
AN S1B000A-PH3,142.69
AN S1B000A-PM0.2,133.88
AN S1B000A-PM0.5,126.21
AN S1B000A-PM3,134.93
AN S1B000A-PN0.5,121.28
AN S1B000A-PN1.5,123.39
AN S1B000A-PN10,141.7
AN S1B000A-PN3,126.21
AN S1B000A-PN3-X,138.26
AN S1B000A-PN4,128.21
AN S1B000A-PN5,130.68
AN S1B000A-PN5-X,142.73
AN S1B001A-PH0.5,140.27
AN S1B001A-PH10,206.49
AN S1B001A-PH3,157.6
AN S1B001A-PM0.2,152.21
AN S1B001A-PM0.5,152.21
AN S1B001A-PM1,152.21
AN S1B001A-PM2,156.5
AN S1B001A-PM3,156.5
AN S1B001A-PM3-X,168.55
AN S1B001A-PN0.5,136.59
AN S1B001A-PN10,164.84
AN S1B001A-PN2,140.65
